Abbreviate,abbr
Above Mean Sea Level,AMSL
Above Water Warfare,AWW
Absent Without Leave,AWOL
Abstract of Evidence,A of E
Accommodation,accn
Account,acct
Accounting Unit,AU
Acknowledge,ack
Action,act
Action Information Organization,AIO
Actual Time of Arrival,ATA
Additional (ly),addl
Address,adds
Address Indicating Group,AIG
Adjutant,adjt
Administer/Administration/Administrative,admin
Administrative Control,ADCON
Administration and Logistics,A&L
Administrative Order,AdminO
Advance,adv
Advance Trade Training,ATT
Advantage,advtg
After Action Review,AAR
Air Command Operations Centre,ACOC
Air Control Team,ACT
Air Defence Artillery,ADA
Air Defence Control Centre,ADCC
Air Defence Commander,ADC
Air Defence Clearance,ADC
Aid-de-Camp,ADC
Air Defence Plan,ADP
Air Defence Exercise,ADEX
Air Defence Ground Environment,ADGE
Air Defence Identification Zone,ADIZ
Air Defence Notification Centre,ADNC
Air Defence Operations Centre,ADOC
Air Defence Weapon System,ADWS
Air Force Doctrine Document,AFDD
Air Force Instruction,AFI
Air Force Letter,AFL
Air Force Order,AFO
Air Intelligence Preparation of the Battle Space,AIPB
Air Liaison Net,ALN
Air Liaison Officer,ALO
Air Operations Command Centre,AOCC
Air Operation Directive,AOD
Air Operations Plan/Area of Operation,AOP
Air Operations Planning Process,AOPP
Air Raid Precaution,ARP
Air Raid Reporting Control Ship,ARRCS
Air Support Operations Centre,ASOC
Air Surveillance Radar,ASR
Airspace Control,ASCON
Airspace Control Authority,ACA
Airspace Control Measures,ACM
Airspace Control Order,ACO
Air Control Post,ACP
Allied Communications Publication,ACP
Airspace Control Plan,ACP
Air Tasking Order,ATO
Air to Air Guided Weapon,AAGW
Air to Air Missile/Guided Missile/Guided Weapon,AAM/AAGM/AAGW
Air to Air Refuelling,AAR
Air to Surface Guided Weapon,ASGW
Air to Surface Missile,ASM
Air Traffic Control,ATC
Air Traffic Control Centre,ATCC
Airborne Early Warning,AEW
Airborne Warning and Control (System),AWACS
Aircraft,ac
Aircraft Accident Investigation,AAI
Aircraft Establishment,AE
Aircraft Maintenance Manual,AMM
Aircraft on Ground,AOG
Airfield,airfd
Airhead,ahd
All Up Weight,AUW
Allocate,alloc
Allotment,alot
Allowance,allce
Alter Course,a/c
Alternate,altn
Alternative Supply Route,ASR
Altitude,alt
Ambulance,amb
Amendment,amdt
Ammunition,ammo
Amphibious,amph
Amphibious Beach Unit,ABU
Amphibious Task Force,ATF
Annex,anx
Annual Confidential Report,ACR
Annual Performance Report,APR
Annual Training Grant,ATG
Answer (s),ans
Anti-Tank,Atk
Anti-Aircraft,AA
Anti Aircraft Artillery,AAA
Anti-Aircraft Defence Commander,AADC
Anti-Personnel,Apers
Anti-Tank Guided Missile,ATGM
Anti-Tank Guided Weapon,ATGW
Anti-Tank Missile,ATM
Anti-Air Warfare,AAW
Anti-Air Warfare Coordinator,AAWC
Anti-Radiation Missile,ARM
Anti-Ship Missile,ASM
Anti-Ship Missile Defence,ASMD
Anti-Submarine Warfare,ASW
Anti Surface Force Operations,ASFO
Anti-Surface-Vessel Warfare,ASVW
Anti-Surface Warfare,ASuW
Appendix,appx
Appoint,appt
Appreciate,aprc
Approach,app
Application/Applications,appl
Approximate,approx
Area Defence Missile System,ADMS
Area Finance Controller,AFC
Area of Interest,AOI
Area of Operation,AOP
Area Maritime Headquarters,AMHQ
Armament,armt
Armed Forces,AF
Armed Forces Division,AFD
Armed Forces Medical Stores Depot,AFMSD
Armed Forces War Course,AFWC
Armour,armr
Armour Piercing Discarding Sabot,APDS
Armour Piercing Fin Stabilized Discarding Sabot,APFSDS
Armour Piercing Incendiary,API
Armoured,armd
Armoured Command Vehicle,ACV
Armoured Fighting Vehicle,AFV
Armoured Personnel Carrier,APC
Armoured Recovery Vehicle,ARV
Armoured Vehicle Launched Bridge,AVLB
Army Air Corps,AAC
Army Aviation Unit,AAU
Army Doctrinal Publication,ADP
Army Dress Regulations,ADR
Army Headquarters,AHQ
Army Post Office,APO
Army Regulations (Regulations)/(Instructions),AR (R)/(I)
Army Security Unit,ASU
Army Sports Control Board,ASCB
Army Training and Doctrine Command,ARTDOC
Army Training Note,ATN
