Administrative Order,adminO,AdminO
Advantage,Advtg,advtg
Air Defence Artillery,AAA,ADA
Airborne Warning and Control (System),AWAC (S),AWACS
Airfield,air fd,airfd
Allotment,Alt,alot
Answer (s),Ans,ans
Anti-Surface Warfare,A Su W,ASuW
Appropriate/Appropriation,Appr,                       appr
Artificer,Art,atfr
Automatic,Auto,auto
Assailability,Asl,asl
Attend,Atnd,atnd
Base Workshop,BWksp,Bwksp
Bandsman,Bdsm,bdsm
Binocular,bino,Bino
Board of Officers,BofO,B of O
Calculate,Cal,cal
Calibrate,cal,calb
Canalize,CNZ,cnz
Capability,Cap,cap
Carpenter,Carp,carp
Circuit,CCT,cct
Commander in Chief,CinC,C in C
Communication Zone,comm Z,CommZ
Concentration Area,conc A,Conc A
Control,con,ctrl
Correspondence,corres,Corres
Degree,deg,Deg
Discuss/Discussion,Disc,disc
Distance,Dstn,dstn
Director of Movement and Quartering,DMQ,DM&Q
Dockyard,Dyd,dyd
Double Side Band,DSB,dsb
Driver,Dvr,dvr
Draftsman,Dtmn,dtmn
Economy,Econ,econ
Flight,Flt,flt
Fitter,Ftr,ftr
Fragmentary Order,fragO,FragO
Function,fun,func
Helicopter,hel,heli
Instructor,Instr,instr
Joint Services Staff Duties Manual,JSSD(M),JSSDM
Junction,junc,Junc
Law of Armed Conflict,LAC,LOAC
Lance Corporal,L Cpl,Lcpl
Manage,man,mng
Management,Mgt,mgt
Movement Order,movO,MovO
Musician,Musn,musn
National,Ntl,ntl
Operation Order,opO,OpO
Platoon /Please,Pl,pl
Refer/Reference(s),ref(s),Ref(s)
Rehabilitate,Rehab,rehab
Riflemen,Rfn,rfn
Strafing,Stg,stg
Subscription,Subs,subs
Substantive,subs,subt
Superintendent,Supdt,supdt
UNCLASSIFIED,UNCLASS,uncl
Vanguard,van gd,vangd
Warning Order,wng O,WngO
Weather,Wx,wx
Work Order,wkO,WkO
Welder,Wldr,wldr
World Wide Web,WWW,www
